"jurisdiction","week_of_allocations","_1st_dose_allocations"
"Maryland","2021-03-01T00:00:00.000","49600"
"Pennsylvania","2021-03-01T00:00:00.000","94600"
"Philadelphia","2021-03-01T00:00:00.000","13100"
"Virginia","2021-03-01T00:00:00.000","69700"
"West Virginia","2021-03-01T00:00:00.000","15500"
"Alabama","2021-03-01T00:00:00.000","40100"
"Florida","2021-03-01T00:00:00.000","175100"
"Georgia","2021-03-01T00:00:00.000","83000"
"Kentucky","2021-03-01T00:00:00.000","36500"
"Mississippi","2021-03-01T00:00:00.000","24200"
"North Carolina","2021-03-01T00:00:00.000","83700"
"South Carolina","2021-03-01T00:00:00.000","41100"
"Tennessee","2021-03-01T00:00:00.000","54800"
"Chicago","2021-03-01T00:00:00.000","22300"
"Illinois","2021-03-01T00:00:00.000","83100"
"Indiana","2021-03-01T00:00:00.000","53900"
"Michigan","2021-03-01T00:00:00.000","82700"
"Minnesota","2021-03-01T00:00:00.000","45200"
"Ohio","2021-03-01T00:00:00.000","96100"
"Wisconsin","2021-03-01T00:00:00.000","48000"
"Arkansas","2021-03-01T00:00:00.000","24400"
"Louisiana","2021-03-01T00:00:00.000","37900"
"New Mexico","2021-03-01T00:00:00.000","17200"
"Oklahoma","2021-03-01T00:00:00.000","31500"
"Texas","2021-03-01T00:00:00.000","219200"
"Iowa","2021-03-01T00:00:00.000","25600"
"Kansas","2021-03-01T00:00:00.000","23400"
"Missouri","2021-03-01T00:00:00.000","50100"
"Nebraska","2021-03-01T00:00:00.000","15500"
"Colorado","2021-03-01T00:00:00.000","45500"
"Montana","2021-03-01T00:00:00.000","8700"
"North Dakota","2021-03-01T00:00:00.000","6300"
"South Dakota","2021-03-01T00:00:00.000","7000"
"Utah","2021-03-01T00:00:00.000","22800"
"Wyoming","2021-03-01T00:00:00.000","4800"
"Arizona","2021-03-01T00:00:00.000","56800"
"California","2021-03-01T00:00:00.000","320100"
"Hawaii","2021-03-01T00:00:00.000","11900"
"Nevada","2021-03-01T00:00:00.000","24000"
"American Samoa","2021-03-01T00:00:00.000","400"
"Guam","2021-03-01T00:00:00.000","1300"
"Marshall Islands","2021-03-01T00:00:00.000","600"
"Micronesia","2021-03-01T00:00:00.000","800"
"Mariana Islands","2021-03-01T00:00:00.000","400"
"Palau","2021-03-01T00:00:00.000","200"
"Alaska","2021-03-01T00:00:00.000","8900"
"Idaho","2021-03-01T00:00:00.000","13300"
"Oregon","2021-03-01T00:00:00.000","34400"
"Washington","2021-03-01T00:00:00.000","60900"
"Federal Entities","2021-03-01T00:00:00.000","139200"
